Timestamp,Type,Status,Pool,Funding Type,Direction,Amount (INR),MCC,Merchant,Source IFSC,Source Account,Gateway Ref
2026-04-23T07:43:21.087092Z,,settled,self,,outbound,150.00,,,,,
2026-04-23T07:43:21.087092Z,,settled,others,,outbound,150.00,,,,,
2026-04-23T07:43:20.953546Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:43:20.918340Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:42:20.750874Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:42:20.706305Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:41:20.528012Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:41:20.466933Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:40:20.256685Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:40:20.198433Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:39:20.018940Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:39:19.970441Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:38:19.770230Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:38:19.718887Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:37:19.513237Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:37:19.441472Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:36:19.245346Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:36:19.186629Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:35:19.008965Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:35:18.939727Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:34:18.758743Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:34:18.710121Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:33:18.504733Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:33:18.442287Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:32:18.268574Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:32:18.232317Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:31:17.906772Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:31:17.843880Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:30:17.662243Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:30:17.612329Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:29:17.463149Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:29:17.400293Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:28:17.206339Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:28:17.150625Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:27:16.971060Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:27:16.921982Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:26:16.764974Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:26:16.705226Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:25:16.514806Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:25:16.466548Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:24:16.273277Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:24:16.230824Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:23:15.999031Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:23:15.945689Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:22:15.751773Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:22:15.703169Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:21:15.522321Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:21:15.469434Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:20:15.242320Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:20:15.187430Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:19:15.012451Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:19:14.946970Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:18:14.668593Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:18:14.601524Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:17:14.430735Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:17:14.395787Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:16:14.200302Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:16:14.138341Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:15:13.972791Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:15:13.923263Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:14:13.827183Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
