Timestamp,Type,Status,Pool,Funding Type,Direction,Amount (INR),MCC,Merchant,Source IFSC,Source Account,Gateway Ref
2026-04-23T07:43:21.099018Z,,settled,self,,outbound,130.00,,,,,
2026-04-23T07:43:21.099018Z,,settled,others,,outbound,170.00,,,,,
2026-04-23T07:43:20.965749Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:43:20.931116Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:42:20.758793Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:42:20.706394Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:41:20.535582Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:41:20.466997Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:40:20.270477Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:40:20.198434Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:39:20.064571Z,,posted,others,third_party,inbound,5.00,,,PUNB0003456,3456789012,
2026-04-23T07:39:20.027224Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:39:19.970441Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:38:19.777007Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:38:19.718983Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:37:19.511310Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:37:19.441384Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:36:19.250507Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:36:19.186669Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:35:18.995967Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:35:18.939727Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:34:18.774656Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:34:18.710212Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:33:18.504737Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:33:18.442285Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:32:18.234236Z,,posted,others,third_party,inbound,5.00,,,PUNB0003456,3456789012,
2026-04-23T07:32:18.190556Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:32:18.135890Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:31:17.915659Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:31:17.843845Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:30:17.670802Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:30:17.612374Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
