Timestamp,Type,Status,Pool,Funding Type,Direction,Amount (INR),MCC,Merchant,Source IFSC,Source Account,Gateway Ref
2026-04-23T07:43:21.099018Z,,settled,self,,outbound,130.00,,,,,
2026-04-23T07:43:21.099018Z,,settled,others,,outbound,170.00,,,,,
2026-04-23T07:43:21.087092Z,,settled,self,,outbound,150.00,,,,,
2026-04-23T07:43:21.087092Z,,settled,others,,outbound,150.00,,,,,
2026-04-23T07:43:20.965749Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:43:20.953546Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:43:20.931116Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:43:20.918340Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:42:20.758793Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:42:20.750874Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:42:20.706394Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:42:20.706305Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:41:20.535582Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:41:20.528012Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:41:20.466997Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:41:20.466933Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:40:20.270477Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:40:20.256685Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:40:20.198434Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:40:20.198433Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:39:20.064571Z,,posted,others,third_party,inbound,5.00,,,PUNB0003456,3456789012,
2026-04-23T07:39:20.027224Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:39:20.018940Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:39:19.970441Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:39:19.970441Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:38:19.777007Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:38:19.770230Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:38:19.718983Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
2026-04-23T07:38:19.718887Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:37:19.513237Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:37:19.511310Z,,posted,others,trust,inbound,5.00,,,NHIL0000001,TRUST000001,
2026-04-23T07:37:19.441472Z,,posted,self,self,inbound,5.00,,,SBIN0001234,1234567890,
2026-04-23T07:37:19.441384Z,,posted,self,self,inbound,5.00,,,HDFC0009876,5678901234,
